r1WEkhzgz	r1WoJxmgG	rJ6QhWmlG	Hyw5N1mgM	HJ5nUZQxz	BJdHbjzef	HJT8c1mgM	B1DA5bQez	HktHigXgM	Hy0Q7lXgz	rJ8BPeQxG	HJuXr3Mlz	Skx5Zl7gM	SySxTyXgz	By7oz84xG	SkWJSeQlf	SJlJLiMlz	BJpmFx7xG
3	10	1	8	4	8	1	5	30	2	1	20	2	1	43	14	56	3
10	35	6	20	42	31	10	18	75	3	7	67	6	6	87	38	116	22
17	61	10	31	77	47	31	32	53	5	30	96	18	34	104	58	63	52
24	74	13	36	93	51	65	50	55	6	71	89	35	56	69	42	0	38
23	83	16	40	98	11	83	66	78	7	95	34	53	66	0	0	35	7
21	82	18	44	73	0	87	85	62	9	92	1	65	38	0	0	121	41
23	69	22	42	10	0	71	89	76	12	29	2	48	3	42	18	127	72
23	50	26	41	0	0	8	38	60	37	0	19	6	32	85	51	38	33
29	30	29	31	0	0	7	0	78	71	7	57	0	60	99	70	0	0
37	10	35	18	18	5	43	1	61	72	52	87	13	73	93	78	0	0
49	9	41	14	56	13	50	16	64	28	95	101	42	80	39	22	0	0
70	10	45	12	83	26	0	52	73	56	115	95	61	79	0	0	0	0
79	12	55	10	95	33	11	82	40	88	91	60	68	66	0	0	0	0
73	15	65	9	48	37	55	100	80	80	11	2	48	17	0	0	0	0
61	27	74	10	0	16	86	104	75	37	0	0	0	0	0	0	0	0
39	47	82	13	0	0	104	78	13	0	0	0	0	0	0	0	0	0
31	62	87	21	0	0	105	3	0	0	0	0	0	0	0	0	0	0
28	67	92	24	12	0	84	0	0	0	0	0	0	0	0	0	0	0
35	73	98	32	49	0	3	0	0	0	0	0	0	0	0	0	0	0
34	69	93	37	80	13	0	0	0	0	0	0	0	0	0	0	0	0
34	67	96	40	98	26	0	0	0	0	0	0	0	0	0	0	0	0
32	57	93	40	109	34	0	0	0	0	0	0	0	0	0	0	0	0
42	44	89	44	99	40	0	0	0	0	0	0	0	0	0	0	0	0
61	33	81	45	69	19	0	0	0	0	0	0	0	0	0	0	0	0
73	27	79	48	3	0	0	0	0	0	0	0	0	0	0	0	0	0
79	15	74	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	11	71	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	16	61	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	32	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	46	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	57	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	63	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	69	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
